"id","type","area","floors","rooms","bathrooms","price","condition","city","district"
4737,"studio",100,2,3,1,14364434,"fully finished","Beheira","Abu Homs"
4738,"studio",154,3,1,1,13908340,"not finished","Fayoum","Tamiya"
4739,"duplex",183,1,3,3,11507645,"not finished","Matrouh","North Coast"
4740,"villa",91,1,1,3,2544465,"luxury finished","Beheira","Rashid"
4741,"office",97,2,2,1,7422741,"not finished","Aswan","Al Basilia"
4742,"shop",173,1,3,3,6217782,"luxury finished","Red Sea","Halaib"
4743,"villa",231,1,2,3,11697814,"fully finished","Qena","Farshout"
4744,"town house",161,3,2,1,1000647,"semi finished","Luxor","Esna"
4745,"town house",280,1,1,2,13505944,"fully finished","Beni Suef","beba"
4746,"studio",229,1,2,1,4796035,"not finished","Assiut","Qusiya"
4747,"villa",170,1,1,2,12695772,"fully finished","Qena","Abu Tesht"
4748,"town house",260,1,2,2,13328649,"not finished","Giza","Oaseem"
4749,"town house",231,2,2,3,8839509,"luxury finished","Ismailia","Fayed"
4750,"town house",203,3,2,1,5404347,"not finished","Dakahlia","Bani Ubaid"
4751,"studio",128,3,2,3,12434542,"semi finished","Minya","Meloy"
4752,"town house",166,3,1,3,2156998,"luxury finished","Damietta","Damietta"
4753,"shop",235,1,3,2,9953109,"not finished","Sharkia","Deirb Negm"
4754,"town house",96,2,3,3,12130397,"semi finished","Beheira","Delengat"
4755,"studio",299,3,1,1,9014544,"luxury finished","Luxor","New Luxor"
4756,"duplex",146,3,1,3,12751522,"semi finished","Damietta","alsaru"
4757,"town house",97,3,1,1,5748876,"semi finished","Gharbia","Zefta"
5207,"apartment",216,3,1,3,4844090,"luxury finished","Qalyubia","Mostorod"
4758,"shop",215,2,2,1,1035783,"semi finished","Sohag","Tama"
4759,"studio",224,1,3,1,2041129,"semi finished","North Sinai","Nakhl"
4760,"shop",298,3,1,2,1261261,"not finished","Giza","Ard Ellwaa"
4761,"studio",87,1,3,1,2056296,"semi finished","Beheira","Wadi Natrun"
4762,"town house",296,3,2,3,8250043,"fully finished","Assiut","Dayrout"
4763,"duplex",127,1,3,2,12155109,"not finished","Matrouh","North Coast"
4764,"town house",204,3,3,3,11459790,"fully finished","Qena","Quos"
4765,"apartment",83,1,3,1,1451590,"fully finished","Matrouh","Marina"
4766,"apartment",292,2,3,3,6657171,"luxury finished","South Sinai","Dahab"
4767,"shop",272,2,3,3,7733380,"fully finished","Sohag","El Maragha"
4768,"shop",217,1,3,3,7350230,"luxury finished","Aswan","Drau"
4769,"villa",275,1,2,2,10085781,"semi finished","Kafr El Sheikh","Fooh"
4770,"apartment",157,1,3,1,13208717,"not finished","Cairo","Shubra"
4771,"office",260,1,2,3,4629388,"luxury finished","Beni Suef","Alabbaseri"
4772,"shop",101,2,2,1,3094888,"not finished","Red Sea","Marsa Alam"
4773,"villa",96,2,3,1,14741693,"luxury finished","Minya","Magagha"
4774,"villa",152,3,2,2,3292981,"fully finished","Luxor","Al ziynia"
4775,"duplex",272,3,2,3,14016824,"fully finished","Port Said","Mubarak"
4776,"town house",161,1,1,1,1908447,"not finished","Damietta","alsaru"
4777,"office",208,3,3,3,8716541,"luxury finished","North Sinai","Sheikh Zowaid"
4778,"apartment",259,2,3,1,9055135,"luxury finished","Damietta","alsaru"
4779,"apartment",283,3,1,3,10169011,"semi finished","Red Sea","Halaib"
4780,"apartment",147,3,2,3,5909947,"not finished","South Sinai","Sharm El-Shaikh"
4781,"apartment",119,3,2,1,1614840,"semi finished","Red Sea","Hurghada"
4782,"studio",167,1,2,2,9631728,"not finished","Port Said","Alarab"
4783,"studio",222,3,3,2,1984201,"not finished","Suez","Ataqah"
4784,"office",147,1,1,1,7073782,"luxury finished","Damietta","alruwda"
4785,"studio",150,1,1,1,14540863,"luxury finished","Ismailia","Qantara Sharq"
4786,"apartment",249,3,3,3,11598754,"luxury finished","Minya","Madinat El Fekria"
4787,"duplex",215,3,1,1,9774250,"fully finished","Kafr El Sheikh","Masief Baltim"
4788,"apartment",85,1,2,3,6034267,"fully finished","Beheira","Kafr El Dawar"
4789,"shop",260,3,3,1,7460704,"semi finished","Suez","Suez"
4790,"apartment",211,2,1,1,7042220,"luxury finished","Gharbia","Zefta"
4791,"office",158,2,1,1,3852977,"luxury finished","New Valley","El Kharga"
4792,"shop",222,1,3,2,10749345,"not finished","Dakahlia","Sinbillawin"
4793,"villa",219,3,3,2,8346455,"luxury finished","Beni Suef","Ehnasia"
4794,"studio",284,1,3,1,13171701,"fully finished","Dakahlia","Dekernes"
4795,"shop",119,3,1,1,9464247,"luxury finished","Aswan","Edfu"
4796,"shop",251,2,2,1,3637013,"luxury finished","Qalyubia","Shibin Al Qanater"
4797,"town house",106,1,2,1,7769166,"semi finished","Dakahlia","aljamalia"
4798,"apartment",151,3,2,2,9073165,"luxury finished","Aswan","Al Basilia"
4799,"duplex",248,3,1,1,6107032,"semi finished","Aswan","Marsa Alam"
4800,"shop",273,2,1,2,6780796,"semi finished","Sohag","Alkawthar"
4801,"office",278,1,1,2,2292638,"luxury finished","Ismailia","El Tal El Kabier"
4802,"town house",212,2,2,2,13262587,"luxury finished","Assiut","El Ghanaim"
4803,"studio",123,2,3,2,10784996,"luxury finished","Damietta","Meet Abou Ghalib"
4804,"town house",266,1,2,1,10126891,"fully finished","Giza","Dokki"
4805,"villa",104,1,1,3,11093695,"semi finished","Kafr El Sheikh","Hamol"
4806,"office",88,2,2,2,8966410,"not finished","Qena","Farshout"
4807,"shop",169,1,3,1,5930240,"not finished","Cairo","Zawya al-Hamra"
6399,"shop",136,1,1,3,13876116,"not finished","Dakahlia","Belqas"
4808,"apartment",90,1,1,3,13067219,"luxury finished","Fayoum","Tamiya"
4809,"apartment",234,2,1,2,2236930,"luxury finished","Red Sea","Aldahar"
4810,"villa",165,1,1,1,6155930,"semi finished","Aswan","Al Basilia"
4811,"studio",196,3,1,3,13229248,"luxury finished","Alexandria","Gheet Alenab"
4812,"town house",194,2,1,2,6497274,"semi finished","Red Sea","Halaib"
4813,"studio",293,2,2,1,4361641,"not finished","Gharbia","Al Mahalla Al Kobra"
4814,"duplex",197,3,2,3,2765468,"semi finished","Cairo","New Nozha"
4815,"duplex",228,1,2,1,7458410,"semi finished","New Valley","Balat"
4816,"studio",131,3,1,3,2755709,"luxury finished","Aswan","Abo Simbl Al Siyahia"
4817,"apartment",266,1,3,3,2640341,"luxury finished","North Sinai","Al Hasana"
4818,"town house",279,1,3,1,6397067,"luxury finished","Qalyubia","Shibin Al Qanater"
4819,"duplex",206,2,2,3,3919537,"fully finished","Sharkia","Al Ibrahimiyah"
4820,"shop",117,2,2,1,7969995,"not finished","Qalyubia","Mostorod"
4821,"villa",255,3,3,2,3929765,"fully finished","Menofia","Menouf"
4822,"studio",283,1,1,3,8566682,"not finished","Kafr El Sheikh","Metobas"
4823,"studio",117,3,3,2,8463082,"luxury finished","Gharbia","Zefta"
4824,"studio",208,3,1,2,5681457,"fully finished","Assiut","Qusiya"
4825,"shop",265,1,3,3,2825828,"not finished","Damietta","Azbet Al Burg"
4826,"shop",139,2,2,1,11278743,"fully finished","Gharbia","Tanta"
4827,"office",249,1,3,3,9352751,"not finished","Dakahlia","Belqas"
4828,"office",165,2,1,3,7409119,"semi finished","Suez","Ain Sokhna"
4829,"apartment",184,3,1,1,5734800,"fully finished","South Sinai","Saint Catherine"
4830,"duplex",90,1,3,3,4059158,"luxury finished","Damietta","Zarqa"
4831,"villa",227,2,2,1,12126738,"not finished","Beni Suef","Al Wasta"
4832,"office",110,2,1,2,11740442,"not finished","Dakahlia","Nabroh"
4833,"apartment",291,1,3,2,1733157,"not finished","North Sinai","Al Hasana"
4834,"apartment",248,1,3,2,3955626,"luxury finished","Port Said","Zohour"
4835,"office",206,3,1,2,14698431,"fully finished","New Valley","El Kharga"
4836,"duplex",99,3,1,3,4794796,"not finished","Giza","Bin Alsarayat"
4837,"villa",160,3,1,2,13582461,"luxury finished","Suez","Alganayen"
4838,"studio",242,3,2,3,10992625,"semi finished","Damietta","Faraskour"
4839,"office",149,3,2,1,10699192,"fully finished","Aswan","Marsa Alam"
4840,"duplex",144,1,1,1,5315737,"semi finished","Cairo","Mokattam"
4841,"office",125,3,1,1,10011848,"not finished","Suez","Faysal"
4842,"villa",223,3,1,3,6498262,"fully finished","Luxor","Luxor"
4843,"shop",141,2,3,3,3182453,"not finished","Matrouh","Dabaa"
4844,"town house",290,2,1,1,6144053,"luxury finished","Matrouh","Marsa Matrouh"
4845,"apartment",82,1,2,2,13443409,"semi finished","Suez","Suez"
4846,"town house",128,2,1,2,5085833,"not finished","Giza","Warraq"
4847,"town house",300,2,2,2,6864285,"fully finished","Cairo","Cairo Downtown"
4848,"duplex",290,3,3,1,6074533,"semi finished","Suez","Ain Sokhna"
4849,"studio",244,2,1,3,10520997,"fully finished","Giza","Atfih"
4850,"apartment",234,3,3,2,2132306,"fully finished","Menofia","Al Bagor"
4851,"villa",112,3,1,3,11540434,"not finished","Red Sea","Ras Ghareb"
4852,"apartment",230,2,3,3,2961149,"not finished","Alexandria","Dekheila"
4853,"shop",166,1,3,3,13401271,"luxury finished","Fayoum","Fayoum El Gedida"
4854,"duplex",148,3,3,1,12430109,"luxury finished","Suez","Ain Sokhna"
4855,"office",132,1,3,1,11093961,"luxury finished","Alexandria","Naseria"
4856,"town house",219,1,3,2,10031485,"luxury finished","Beheira","Wadi Natrun"
4857,"villa",201,1,1,2,6331089,"fully finished","North Sinai","Sheikh Zowaid"
5208,"villa",86,2,2,1,2074251,"fully finished","Matrouh","Siwa"
4858,"duplex",178,1,1,2,1475920,"luxury finished","Damietta","alruwda"
4859,"office",146,1,3,2,4165404,"luxury finished","Alexandria","Sidi Kerir"
4860,"town house",129,2,2,1,12569912,"fully finished","Dakahlia","Menia El Nasr"
4861,"apartment",235,1,1,3,7368852,"not finished","Fayoum","Tamiya"
4862,"villa",158,1,1,3,9824134,"not finished","Dakahlia","El Kurdi"
4863,"duplex",223,3,3,1,9325532,"semi finished","Menofia","Al Shohada"
4864,"shop",273,3,2,2,2093531,"luxury finished","Alexandria","El Soyof"
4865,"apartment",196,1,2,2,1313477,"semi finished","North Sinai","Rafah"
4866,"office",198,3,2,3,5599817,"luxury finished","Menofia","Al Bagor"
4867,"office",275,1,2,2,13084144,"semi finished","Port Said","Mubarak"
4868,"duplex",189,2,3,2,6351016,"not finished","Luxor","Al Bayadieh"
4869,"duplex",292,1,2,2,14574318,"fully finished","Qena","Quos"
4870,"duplex",143,2,2,1,6984158,"semi finished","Dakahlia","Aga"
4871,"studio",239,3,1,1,8820105,"luxury finished","Dakahlia","tami al'amdid"
4872,"town house",129,3,1,2,9804057,"luxury finished","Sohag","Jahina Al Gharbia"
4873,"duplex",298,1,1,2,4132302,"not finished","Cairo","El-Layton"
4874,"apartment",162,2,1,3,4066448,"fully finished","Assiut","Sahel Selim"
4875,"office",124,2,1,1,6521486,"not finished","Damietta","alsaru"
4876,"office",143,1,3,3,12550555,"luxury finished","Beheira","Housh Eissa"
4877,"office",268,1,1,1,7378618,"luxury finished","Gharbia","Qutour"
4878,"shop",151,1,3,1,1422061,"fully finished","Matrouh","Al-Nagila"
4879,"studio",203,2,2,2,10799072,"semi finished","Kafr El Sheikh","Sidi Ghazi"
4880,"studio",236,1,1,3,3006406,"fully finished","Dakahlia","Aga"
4881,"duplex",162,2,1,3,10677179,"semi finished","Damietta","Azbet Al Burg"
4882,"studio",137,1,3,3,7089197,"luxury finished","Minya","Ard Sultan"
4883,"office",140,3,1,1,9745306,"fully finished","New Valley","El Kharga"
4884,"town house",252,1,2,1,7346459,"fully finished","Damietta","Meet Abou Ghalib"
4885,"office",150,3,3,1,6409713,"luxury finished","Alexandria","Dekheila"
4886,"apartment",198,1,3,3,3421845,"luxury finished","Sharkia","Manshayat Abu Omar"
4887,"duplex",243,2,1,1,9857374,"fully finished","Ismailia","Abu Sawir"
4888,"studio",295,3,3,2,4803863,"fully finished","Gharbia","Basion"
4889,"shop",113,3,1,2,4414390,"luxury finished","New Valley","Balat"
4890,"studio",95,3,1,2,11660677,"semi finished","Sharkia","Awlad Saqr"
4891,"town house",136,1,2,1,13077810,"luxury finished","Ismailia","Nefesha"
4892,"studio",285,3,1,3,1877088,"not finished","Gharbia","Basion"
4893,"town house",82,1,3,2,2173963,"luxury finished","Ismailia","Abu Sawir"
4894,"shop",80,2,1,2,13053449,"semi finished","Assiut","El Ghanaim"
4895,"shop",294,1,2,2,7619234,"luxury finished","Sohag","Tahta"
4896,"studio",104,2,1,3,12080483,"not finished","Red Sea","Halaib"
4897,"duplex",274,3,1,2,11835541,"luxury finished","Qalyubia","Qalyub"
4898,"villa",220,3,2,2,8986988,"semi finished","Suez","Suez"
4899,"villa",121,1,1,1,9247609,"semi finished","Damietta","Faraskour"
4900,"apartment",296,3,2,3,10207406,"luxury finished","Suez","Faysal"
4901,"shop",297,1,3,2,3729469,"semi finished","Ismailia","Abu Sawir"
4902,"duplex",142,2,1,2,3244301,"not finished","Dakahlia","El Kurdi"
4903,"town house",85,1,2,1,4288638,"not finished","Sohag","Dar AISalaam"
4904,"shop",281,3,2,3,4875437,"not finished","Beheira","Badr"
4905,"office",120,1,3,2,4531151,"not finished","Qalyubia","Kafr Shukr"
4906,"apartment",224,3,1,1,4032244,"fully finished","Beheira","Delengat"
4907,"villa",121,3,2,2,10211872,"fully finished","New Valley","Dakhla"
11205,"town house",152,3,1,1,3009351,"luxury finished","North Sinai","Sheikh Zowaid"
4908,"office",174,3,1,1,8492989,"semi finished","Menofia","Shbeen El Koom"
4909,"duplex",133,1,1,3,12095098,"fully finished","Red Sea","Safaga"
4910,"town house",115,3,2,1,4031963,"not finished","Beni Suef","Naser"
4911,"office",292,1,3,1,14017409,"fully finished","Sohag","Tahta"
4912,"apartment",127,1,3,3,9776953,"semi finished","South Sinai","Sharm El-Shaikh"
4913,"duplex",189,1,1,1,7398620,"luxury finished","Alexandria","Bab Sharq"
4914,"office",277,2,1,2,6448910,"not finished","Red Sea","Marsa Alam"
4915,"apartment",153,2,1,2,5542016,"not finished","Gharbia","Al Mahalla Al Kobra"
4916,"town house",108,3,3,3,6127397,"not finished","Dakahlia","Al Manzala"
4917,"villa",184,3,1,1,14614254,"fully finished","Qalyubia","Tukh"
4918,"studio",152,1,3,3,9744866,"not finished","Giza","Mohandessin"
4919,"duplex",296,2,2,1,5306551,"semi finished","Beni Suef","beba"
4920,"office",210,2,2,1,9419259,"semi finished","Alexandria","Al Mandara"
4921,"duplex",250,1,1,1,6344234,"not finished","Red Sea","Shalatin"
4922,"office",151,3,3,2,6193584,"luxury finished","Beheira","Alnoubareya"
4923,"shop",162,1,1,1,10286211,"semi finished","Cairo","Bab al-Shereia"
4924,"apartment",164,1,3,3,11638994,"semi finished","Minya","Samalut"
4925,"studio",110,1,2,1,9692674,"luxury finished","Red Sea","El Qusiar"
4926,"town house",97,1,3,3,11754342,"not finished","Alexandria","Alattarin"
4927,"office",233,1,2,3,10647200,"not finished","Beni Suef","Fashn"
4928,"town house",185,2,3,2,10989692,"luxury finished","Beni Suef","Fashn"
4929,"town house",125,1,3,2,6810622,"fully finished","North Sinai","Sheikh Zowaid"
4930,"office",263,2,1,2,7302169,"not finished","Red Sea","El Qusiar"
4931,"office",143,1,2,3,12708253,"semi finished","Red Sea","Marsa Alam"
4932,"office",218,1,2,2,8552238,"fully finished","Ismailia","Abu Sawir"
4933,"studio",286,1,1,3,12264793,"luxury finished","Red Sea","Aldahar"
4934,"villa",219,1,3,2,5881944,"fully finished","Sharkia","Qenaiat"
4935,"studio",218,2,3,2,12227108,"luxury finished","Assiut","Dayrout"
4936,"duplex",229,3,1,2,5779304,"luxury finished","Ismailia","El Tal El Kabier"
4937,"duplex",126,1,1,2,12623267,"not finished","Aswan","Edfu"
4938,"studio",116,3,3,3,10835590,"fully finished","Red Sea","El Qusiar"
4939,"studio",91,1,1,1,9218922,"fully finished","Cairo","Ataba"
4940,"shop",282,3,2,1,10087296,"not finished","Suez","Suez"
4941,"duplex",141,2,3,1,5090700,"fully finished","Ismailia","Sheikh Zayed"
4942,"studio",164,3,3,1,14784759,"semi finished","Menofia","Sars El-Layan"
4943,"town house",249,2,1,1,4317596,"semi finished","Cairo","Abdeen"
4944,"apartment",233,1,3,3,8250491,"not finished","Gharbia","Basion"
4945,"villa",101,2,2,3,3374137,"fully finished","Qalyubia","Khosous"
4946,"studio",117,3,3,2,4743831,"not finished","Ismailia","El Tal El Kabier"
4947,"shop",209,2,1,3,1807715,"semi finished","Dakahlia","Mitt Ghamr"
4948,"apartment",163,2,1,1,9182291,"fully finished","Qena","Farshout"
4949,"studio",227,1,1,2,6773436,"not finished","Red Sea","Marsa Alam"
4950,"duplex",115,3,2,1,2143309,"luxury finished","Ismailia","Abu Sawir"
4951,"duplex",151,1,3,2,3883259,"not finished","Beni Suef","Somasta"
4952,"office",98,2,3,1,9206147,"luxury finished","North Sinai","Rafah"
4953,"apartment",161,3,2,1,13264417,"semi finished","Sharkia","Awlad Saqr"
4954,"shop",194,2,3,2,3009546,"not finished","Gharbia","El Santa"
4955,"office",269,1,3,2,6627286,"not finished","Giza","Bin Alsarayat"
4956,"apartment",279,2,2,2,14629858,"not finished","Luxor","Luxor"
4957,"villa",280,2,3,3,13901092,"luxury finished","Cairo","Abaseya"
5209,"office",97,3,3,3,4765285,"semi finished","Fayoum","Epschway"
4958,"villa",157,1,1,3,8852345,"fully finished","Cairo","Nozha"
4959,"studio",276,2,1,3,2850550,"semi finished","Menofia","Ashmon"
4960,"villa",186,1,1,3,3515284,"luxury finished","Qalyubia","Khosous"
4961,"office",179,2,1,3,4068269,"fully finished","Beni Suef","Al Wasta"
4962,"villa",287,3,3,1,14857547,"fully finished","North Sinai","Sheikh Zowaid"
4963,"apartment",269,2,3,1,5149765,"semi finished","South Sinai","Sharm El-Shaikh"
4964,"villa",114,1,2,1,7294543,"luxury finished","Assiut","Sahel Selim"
4965,"duplex",231,3,2,3,4314189,"fully finished","Kafr El Sheikh","Hamol"
4966,"studio",106,3,2,3,5327806,"semi finished","Qalyubia","Al Qanater Charity"
4967,"studio",258,3,2,2,1763191,"semi finished","Red Sea","Safaga"
4968,"shop",299,2,2,1,12678896,"fully finished","Minya","Deir Mawas"
4969,"studio",172,3,3,1,8863865,"not finished","Qalyubia","Khosous"
4970,"villa",155,1,3,2,2866708,"semi finished","Dakahlia","aljamalia"
4971,"shop",120,1,1,3,3732929,"fully finished","Port Said","Aldawahi"
4972,"apartment",293,1,2,3,10999420,"fully finished","Qena","Abu Tesht"
4973,"shop",300,1,1,3,11147911,"fully finished","Matrouh","Sidi Brani"
4974,"town house",288,3,2,2,4569192,"not finished","Port Said","Almanakh"
4975,"villa",123,1,2,1,7172877,"not finished","Matrouh","Marsa Matrouh"
4976,"office",161,2,3,1,13480908,"not finished","Assiut","El Ghanaim"
4977,"duplex",223,2,3,1,13766844,"fully finished","Damietta","Zarqa"
4978,"town house",168,1,1,1,6515352,"luxury finished","Dakahlia","tami al'amdid"
4979,"apartment",106,1,2,2,12370407,"semi finished","Ismailia","Sheikh Zayed"
4980,"apartment",283,3,1,2,14816018,"semi finished","Red Sea","Hurghada"
4981,"office",261,3,1,3,1599363,"semi finished","Dakahlia","Menia El Nasr"
4982,"duplex",249,2,1,1,6309162,"luxury finished","Alexandria","Bourj Alarab"
4983,"town house",92,1,2,2,14081042,"not finished","Port Said","Mubarak"
4984,"town house",149,1,1,2,12351375,"fully finished","Ismailia","Kasasien El Gedida"
4985,"studio",282,3,3,2,1018150,"luxury finished","Minya","Minya El Gedida"
4986,"apartment",201,2,3,3,4946667,"fully finished","Sohag","Sohag"
4987,"shop",300,3,2,2,9554956,"semi finished","Red Sea","Ras Ghareb"
4988,"office",257,1,3,1,4919806,"fully finished","Giza","Moneeb"
4989,"villa",169,2,2,3,12960799,"not finished","Sharkia","Deirb Negm"
4990,"villa",258,2,2,2,10733466,"luxury finished","Fayoum","Algamaa"
4991,"apartment",229,3,3,1,14172267,"semi finished","South Sinai","Abu Zenaima"
4992,"studio",108,3,2,2,11760272,"not finished","Luxor","Al Bayadieh"
4993,"shop",190,2,1,1,2496144,"not finished","Beheira","Abu Homs"
4994,"duplex",191,3,1,2,10703694,"not finished","Matrouh","Marsa Matrouh"
4995,"villa",274,3,2,3,3203136,"semi finished","Sohag","Tahta"
4996,"apartment",278,2,1,1,9271508,"semi finished","New Valley","Dakhla"
4997,"villa",127,1,3,2,12657885,"not finished","Alexandria","North Coast/sahel"
4998,"office",214,1,2,3,5174595,"fully finished","Assiut","Sahel Selim"
4999,"studio",155,1,2,3,3112603,"semi finished","Damietta","alsaru"
5000,"villa",276,1,1,3,8945509,"not finished","Luxor","New Tiba"
5001,"villa",180,3,2,1,5957646,"fully finished","Giza","Al Badrasheen"
5002,"town house",171,2,2,1,9448364,"fully finished","Red Sea","Marsa Alam"
5003,"shop",195,3,3,3,10943179,"not finished","Gharbia","El Santa"
5004,"shop",232,1,1,2,12857983,"semi finished","New Valley","Mout"
5005,"office",93,2,1,2,7726582,"fully finished","Matrouh","Marina"
5006,"studio",81,2,3,1,13067445,"luxury finished","Luxor","New Tiba"
5007,"duplex",132,1,3,2,5866581,"semi finished","Assiut","El Ghanaim"
6400,"duplex",288,3,2,1,13511523,"fully finished","Ismailia","El Tal El Kabier"
5008,"shop",244,3,2,3,4308080,"fully finished","Beheira","Rashid"
5009,"shop",187,2,1,1,12407386,"fully finished","North Sinai","Arish"
5010,"duplex",257,3,3,1,5488591,"not finished","Gharbia","El Santa"
5011,"office",90,2,2,2,1254945,"luxury finished","Cairo","Nozha"
5012,"office",285,3,3,3,4371869,"semi finished","Beni Suef","Ehnasia"
5013,"duplex",223,1,1,3,4096576,"luxury finished","Aswan","Kalabsha"
5014,"duplex",193,1,1,1,2134092,"luxury finished","Ismailia","El Tal El Kabier"
5015,"town house",105,3,2,2,7676003,"luxury finished","Beni Suef","Fashn"
5016,"shop",218,1,2,3,2750603,"not finished","Beheira","Wadi Natrun"
5017,"apartment",232,2,1,2,2524216,"fully finished","Damietta","Zarqa"
5018,"apartment",288,2,3,1,12325236,"fully finished","Damietta","Damietta"
5019,"town house",84,3,3,1,13799588,"luxury finished","Gharbia","Al Mahalla Al Kobra"
5020,"town house",240,3,1,2,3972638,"luxury finished","Port Said","Mubarak"
5021,"duplex",105,2,3,3,6627413,"fully finished","Beheira","Housh Eissa"
5022,"duplex",114,2,1,2,11039922,"luxury finished","Sharkia","Husseiniya"
5023,"shop",97,2,3,1,11609677,"not finished","Beni Suef","beba"
5024,"studio",245,2,3,2,1153898,"fully finished","Suez","Ataqah"
5025,"office",154,3,3,2,13278286,"semi finished","Dakahlia","tami al'amdid"
5026,"duplex",91,3,3,1,6492842,"luxury finished","Beheira","Kafr El Dawar"
5027,"studio",236,2,2,3,5238198,"semi finished","Giza","Hawamdiyah"
5028,"shop",182,2,2,3,11645110,"not finished","Giza","Warraq"
5029,"duplex",217,1,1,2,2227667,"not finished","Beni Suef","Alabbaseri"
5030,"shop",97,1,2,3,7744867,"fully finished","Assiut","Manfalut"
5031,"villa",246,1,3,1,6491258,"luxury finished","Sharkia","El Salihia El Gedida"
5032,"duplex",142,2,3,3,13764980,"not finished","Ismailia","Ismailia"
5033,"apartment",129,1,2,1,3469025,"luxury finished","Menofia","Tala"
5034,"villa",267,3,1,1,11063901,"fully finished","Fayoum","Yusuf El Sediaq"
5035,"office",157,1,1,3,9937393,"luxury finished","Kafr El Sheikh","Sidi Salm"
5036,"office",264,3,1,2,5788434,"fully finished","New Valley","Farafra"
5037,"apartment",105,1,3,1,4613327,"semi finished","Cairo","Mokattam"
5038,"town house",204,3,2,2,6671135,"semi finished","Beheira","Rahmaniyah"
5039,"town house",244,2,2,1,6773179,"luxury finished","Red Sea","Marsa Alam"
5040,"town house",266,3,1,1,10065749,"luxury finished","Matrouh","Alamein"
5041,"studio",119,2,3,3,4023157,"luxury finished","Damietta","Ras El Bar"
5042,"town house",142,3,2,1,11939761,"luxury finished","Luxor","Al Qarna"
5043,"duplex",251,1,1,2,14985649,"luxury finished","Qena","Quos"
5044,"shop",255,1,1,2,11487617,"luxury finished","Qena","Qena"
5045,"office",263,2,2,3,2760703,"fully finished","Ismailia","Ismailia"
5046,"villa",172,2,3,3,13468559,"semi finished","Beheira","Mahmoudiyah"
5047,"town house",284,2,1,3,4454576,"semi finished","Suez","Ataqah"
5048,"duplex",92,1,2,2,13894997,"not finished","Qalyubia","Al Qanater Charity"
5049,"villa",266,1,2,2,9789093,"semi finished","Cairo","Zawya al-Hamra"
5050,"villa",216,2,3,3,9325911,"not finished","Qena","Qena"
5051,"apartment",290,3,1,2,12169136,"not finished","Ismailia","Qantara Sharq"
5052,"duplex",212,1,2,1,6560259,"not finished","Gharbia","Samannoud"
5053,"office",292,1,1,2,8942486,"not finished","Minya","Minya El Gedida"
5054,"apartment",272,1,2,3,6710051,"luxury finished","Suez","Ain Sokhna"
5055,"villa",83,3,1,2,8894884,"fully finished","Cairo","Garden City"
5056,"villa",267,1,1,2,3072702,"luxury finished","Damietta","Kafr El-Batikh"
5057,"duplex",245,2,1,3,6925329,"not finished","Giza","Saft Allaban"
5210,"town house",176,2,2,3,4813652,"not finished","New Valley","Paris"
5058,"town house",84,2,2,1,14391914,"not finished","Assiut","Dayrout"
5059,"town house",186,3,3,3,11411030,"semi finished","Alexandria","Sidi Gaber"
5060,"duplex",236,2,3,3,5969026,"luxury finished","Sohag","Tahta"
5061,"apartment",207,3,2,3,1801525,"not finished","North Sinai","Bir al-Abed"
5062,"apartment",82,2,3,2,1096058,"semi finished","South Sinai","Abu Zenaima"
5063,"villa",229,2,2,3,5492455,"semi finished","Port Said","Aldawahi"
5064,"town house",130,1,1,3,1259219,"not finished","Qena","Qena"
5065,"town house",236,2,2,1,12763381,"not finished","New Valley","Mout"
5066,"apartment",130,3,1,3,11745788,"fully finished","North Sinai","Nakhl"
5067,"studio",208,1,1,3,7603713,"semi finished","Cairo","El darrasa"
5068,"studio",95,3,1,1,5926299,"fully finished","Matrouh","Salloum"
5069,"office",184,1,1,2,6287001,"fully finished","Beni Suef","Somasta"
5070,"duplex",172,3,3,2,2632115,"not finished","New Valley","Balat"
5071,"studio",164,3,3,1,5860514,"luxury finished","Beni Suef","Ehnasia"
5072,"shop",230,1,1,1,9349887,"semi finished","Aswan","Nasr Al Nuba"
5073,"studio",289,3,3,3,7877569,"not finished","Aswan","Aswan"
5074,"town house",87,3,3,3,14544346,"luxury finished","Aswan","Al Basilia"
5075,"shop",172,1,2,1,13523818,"luxury finished","Dakahlia","Meet Salsil"
5076,"villa",102,3,1,3,10956139,"luxury finished","Luxor","Al Tud"
5077,"duplex",201,3,1,1,4309064,"semi finished","Aswan","Aswan"
5078,"office",214,3,3,1,6745351,"not finished","Giza","Warraq"
5079,"studio",193,2,1,1,5635490,"fully finished","Qalyubia","Obour"
5080,"studio",244,3,3,1,3311402,"semi finished","Giza","Al-Bawaiti"
5081,"duplex",112,1,1,2,12158676,"fully finished","Assiut","Abnoub"
5082,"town house",235,2,1,2,13021473,"semi finished","Suez","Faysal"
5083,"apartment",246,1,1,2,5140167,"semi finished","Red Sea","Hurghada"
5084,"shop",199,2,1,1,8879076,"semi finished","Dakahlia","Belqas"
5085,"town house",190,3,2,3,7415209,"fully finished","Gharbia","Al Mahalla Al Kobra"
5086,"shop",129,1,1,2,6975796,"fully finished","Sharkia","Belbeis"
5087,"shop",187,3,1,2,1262895,"luxury finished","Damietta","Azbet Al Burg"
5088,"duplex",288,3,1,2,7753899,"fully finished","Fayoum","Atsa"
5089,"studio",84,2,3,3,13361194,"semi finished","Kafr El Sheikh","Sidi Ghazi"
